Nom du pays	Code Pays	Population	Croissance de la population (% annuel)	Part des revenus détenus par les 20% les plus pauvres	Espérance de vie à la naissance (années)	Nombre d'enfants par femme	Taux de mortalité infantile (pour 1 000)	PIB ($ US courants)	Croissance du PIB (% annuel)	Agriculture (% du PIB)	Industrie (% du PIB)	Dépenses militaires (% du PIB)	Abonnements à la téléphonie mobile (pour 100 habitants)	Exportations de haute technologie (% des exportations de biens manufacturés)	Commerce de marchandises (% du PIB)	Investissements directs étrangers, entrées  (IDE, $ US courants)	PIB par habitant ($ US courants)
Cuba	CUB	11333483	-0,041064554	..	78,802	1,602	5,1	..	..	..	..	..	53,31661061	..	..	..	..
Curacao	CUW	157441	-1,196439518	..	..	1,6	..	3101787709	-3,4	..	..	..	112,7349716	..	61,57739275	67780648,85	19701,27038
Chypre	CYP	1198575	0,779788192	..	80,982	1,321	2,3	24948935408	3,075034343	1,735895426	12,70802145	1,627664717	143,849919	19,87421432	50,61137797	25930367780	27858,371
République tchèque	CZE	10671870	0,393788864	..	79,12926829	1,71	3,2	250681000000	2,335309283	1,934204584	31,43260317	1,190685197	122,5662254	20,804636	150,7085685	9332858121	23489,83866
Danemark	DNK	5814422	0,358130916	..	81,20243902	1,7	3,8	350104000000	2,849514441	1,328104617	21,11962893	1,32256524	125,4958526	12,04440921	59,58309667	-7499269283	60213,09215
Djibouti	DJI	973560	1,515180502	..	67,112	2,676	57,5	3324634256	7,770497257	1,271718563	15,9377782	..	42,51057973	..	227,0625704	175000000	3414,92487
Dominique	DMA	71808	0,255171543	..	..	..	34,7	582403703,7	3,556743244	13,04745976	15,33745843	..	..	..	53,57108789	32551851,85	8110,568512
République dominicaine	DOM	10738958	1,046460513	6	74,081	2,323	28	88941299734	5,052168023	5,227288926	29,07733665	0,730151763	83,32379175	..	35,42448794	2824500000	8282,116359
Équateur	ECU	17373662	1,679213179	4,5	77,01	2,403	14	107436000000	0,053718829	8,996839178	32,26645453	2,286824013	91,24789005	5,527952825	41,78593766	948594269,5	6183,823825
Égypte, République arabe d’	EGY	100388073	1,976284348	..	71,99	3,28	20,3	303092000000	5,557683888	11,0485607	35,62210783	1,180453002	94,97170247	2,340478517	32,96422073	9010100000	3019,205829
El Salvador	SLV	6453553	0,509683302	6,3	73,317	2,021	13,3	27022640000	2,382362908	5,080850724	25,63180355	1,194888939	..	5,126159061	66,46648884	724753960,8	4187,250031
Guinée équatoriale	GNQ	1355986	3,528524074	..	58,735	4,429	81,8	11026774945	-5,576308454	2,525357615	50,48143894	..	..	..	71,64379466	452287114,4	8131,923888
Érythrée	ERI	..	..	..	66,321	3,997	40,5	..	..	..	..	..	..	..	..	67116000	..
Estonie	EST	1326898	0,371554389	..	78,49756098	1,66	2,4	31471100656	4,996443785	2,49300424	22,03844875	2,120434528	147,1771541	5,772711197	108,4264588	2962634486	23717,79945
Éthiopie	ETH	112078730	2,579563348	..	66,597	4,146	50,7	95912590628	8,364085699	33,521072	24,82236751	0,601169492	..	..	18,05289575	2516228020	855,7608623
Îles Féroé	FRO	48678	0,372524228	..	82,74634146	2,4	..	..	..	..	..	..	..	..	..	..	..
Fidji	FJI	889953	0,729660242	..	67,444	2,754	25,7	5496250694	-0,4453347	11,84914876	15,58580363	1,619530705	..	22,0013002	69,33817637	322282826,1	6175,88872
Finlande	FIN	5521606	0,11019169	..	81,78536585	1,35	2,4	269296000000	1,145535703	2,311727831	24,18605231	1,481490763	129,2443669	9,214541081	54,6505817	15768223069	48771,3738
France	FRA	67055854	0,134220009	..	82,57804878	1,87	4,5	2715520000000	1,50859403	1,597141948	17,13520341	1,857220041	110,6100121	26,99241184	45,12111046	51038713851	40496,36403
Polynésie française	PYF	279287	0,577415665	..	77,657	1,927	..	..	..	..	..	..	..	..	..	32625026,51	..
Gabon	GAB	2172579	2,484089207	..	66,467	3,922	42,5	16874450215	3,944946204	5,554416266	47,20818078	1,59301498	137,75384	..	62,66278228	1553136883	7767,013404
Gambie	GMB	2347706	2,921850237	..	62,05	5,154	51,7	1826073740	6,056765744	21,79719527	15,79299368	0,824343186	..	0,040954839	41,23601274	32266071,55	777,8119321
Géorgie	GEO	3720161	-0,17156574	6,8	73,767	2,055	9,6	17477255546	4,982350459	6,504589282	20,3125586	1,989966487	134,7205052	2,567720053	76,18473029	1341122820	4697,983648
Allemagne	DEU	83092962	0,225519874	..	80,94146341	1,54	3,8	3861120000000	0,555450888	0,721821951	26,70373001	1,279500177	128,3570318	16,42632709	70,53920858	72211216446	46467,5162
Ghana	GHA	30417856	2,162577887	..	64,074	3,816	46,2	66983634224	6,478394805	17,30634537	31,99322087	0,441936078	134,3193846	1,13778738	43,41209661	3879831470	2202,115567
Gibraltar	GIB	33701	-0,050430889	..	..	..	..	..	..	..	..	..	120,2842646	..	..	..	..
Grèce	GRC	10717169	-0,146507836	..	81,93902439	1,35	3,8	209853000000	1,870870004	3,654929225	15,28280731	2,571972336	113,4494873	12,51486997	47,74585736	4999635990	19580,98833
Groenland	GRL	56225	0,359917714	..	..	2,08	..	..	..	..	..	..	108,7944664	..	..	..	..
Grenade	GRD	112003	0,491370693	..	72,397	2,042	16,5	1210603704	1,914286641	4,897770626	13,56501042	..	..	..	41,46691427	131044444,4	10808,67212
Guam	GUM	167294	0,916352318	..	80,074	2,293	..	..	..	..	..	..	..	..	..	..	..
Guatemala	GTM	16604026	1,560386048	..	74,302	2,822	24,5	76710355347	3,844902067	9,365381622	21,91668523	0,418531309	118,7279996	4,920136355	40,48605936	966759860	4619,985258
Guinée	GIN	12771246	2,834575382	..	61,602	4,625	98,8	12296665331	5,6	23,63852358	23,72528423	2,029174026	100,7967429	..	59,75603793	44400000	962,8399086
Guinée-Bissau	GNB	1920922	2,456522095	..	58,322	4,402	78,5	1339449165	4,600094045	52,53759566	13,19698353	..	82,79258606	..	40,09110714	30612874,13	697,2949269
Guyane	GUY	782766	0,481762011	..	69,906	2,44	29,3	5173759528	5,35283079	17,59529623	28,68930316	1,650968715	..	1,566056588	88,63960483	1695179887	6609,586425
Haïti	HTI	11263077	1,249899403	..	64,001	2,887	62,8	14332163266	-1,68198513	19,38274919	23,31653872	0,001287275	60,7594177	..	39,40089081	75000000	1272,490925
Honduras	HND	9746117	1,640648793	3,6	75,27	2,427	16,8	25095395475	2,65276116	10,72196511	27,38690563	1,629646715	77,56759949	1,966731342	81,86362323	955095298	2574,912191
Chine, RAS de Hong Kong	HKG	7507400	0,75409492	..	85,07804878	1,051	..	365712000000	-1,249488124	..	..	..	288,5327012	65,56644476	304,2619388	58299361095	48713,47375
Hongrie	HUN	9771141	-0,04525571	..	76,02195122	1,49	3,7	163469000000	4,578190461	3,357050457	24,96187643	1,220831242	106,0716003	17,45780148	148,9150458	32049970433	16729,78037
Islande	ISL	360563	2,198932258	..	82,56097561	1,75	2	24188038474	1,918676867	4,343769155	19,38758504	0	121,9493203	38,07920363	48,7431009	-480910801,7	67084,08371
Inde	IND	1366417754	1,015106028	..	69,656	2,202	34,3	2868930000000	4,180727625	16,01507787	24,7794349	2,395246379	84,27000876	10,29886438	28,24429892	50610647354	2099,599048
Indonésie	IDN	270625568	1,100584587	6,9	71,716	2,288	23,9	1119190000000	5,024714022	12,71715358	38,9487536	0,674409306	126,1069128	8,097892919	30,28607864	24993551748	4135,569263
Iran, République islamique d’	IRN	82913906	1,352226023	..	76,677	2,146	13,9	..	-6,784215668	12,18187982	31,67780302	2,312118697	142,3903718	..	..	1508000000	..
Iraq	IRQ	39309783	2,254134219	..	70,604	3,597	25,9	234094000000	4,400909845	1,476382046	49,89769522	3,468703277	94,69591577	..	54,92279871	-3075600000	5955,10901
Irlande	IRL	4934040	1,361546928	..	82,30243902	1,7	3,3	388699000000	5,549767182	0,901973136	35,18268822	0,289905561	105,6900007	25,9734867	69,33107626	-46633226471	78778,99477
Île de Man	IMN	84584	0,60120778	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Israël	ISR	9054000	1,90898264	..	82,80487805	3,01	3,7	394652000000	3,471688231	..	..	5,257651249	137,3339858	23,09242282	34,23216606	19047100000	43588,71331
Italie	ITA	60302093	-0,198249205	..	83,19756098	1,27	3,1	2003580000000	0,342718997	1,91353303	21,38174278	1,35140678	131,2645046	7,833264155	50,21895486	31192029026	33225,64849
Jamaïque	JAM	2948279	0,456356197	..	74,475	1,965	13,9	16458071068	0,7	6,598570424	20,251645	1,604714965	102,5640043	3,064780819	48,15266605	665415555	5582,263778
Japon	JPN	126264931	-0,208999473	..	84,35634146	1,36	2,5	5081770000000	0,65415165	..	..	0,930602183	147,0232275	17,02289176	28,07134381	36280892672	40246,88013
Jordanie	JOR	10101694	1,452664319	..	74,526	2,691	15,6	44502895862	1,955466394	4,912643817	24,45447108	4,680536959	77,00460933	1,36854377	62,13078827	825492957,7	4405,488412
Kazakhstan	KAZ	18513673	1,28960849	..	73,18	2,9	10,5	181666000000	4,5	4,466335958	33,02879591	1,056352367	138,6292278	29,77547838	52,33012663	3369885001	9812,526588
Kenya	KEN	52573973	2,27190164	..	66,699	3,423	43,2	95503088538	5,365748965	34,14965361	16,14641759	1,15594133	103,7690208	4,592515618	24,60025153	1332436904	1816,546916
Kiribati	KIR	117606	1,506969958	..	68,369	3,53	50,9	194647201,9	2,247365963	..	..	..	46,47551996	..	73,98	482545,0943	1655,078839
Corée, République démocratique de	PRK	25666161	0,454319922	..	72,274	1,896	17,3	..	..	..	..	..	..	..	..	25759138,61	..
Corée République de	KOR	51709098	0,198353208	..	83,22682927	0,918	3,2	1646740000000	2,039348227	1,62242067	32,83214695	2,673585474	134,4892665	32,4074909	63,49372066	10565600000	31846,21823
Kosovo	XKX	1788878	-0,457730006	..	72,49512195	1,97	..	7926133714	4,171659256	6,911299901	26,55820202	0,824280693	..	..	..	285081551,3	4430,784947
Koweït	KWT	4207083	1,672323183	..	75,489	2,077	7,9	134629000000	0,427320685	0,451468277	57,45790681	5,615501039	174,1593403	0,90276949	72,8352235	515617569,4	32000,44847
République kirghize	KGZ	6456200	2,08787614	9,6	71,6	3,3	18,3	8454619608	4,507138923	12,08984304	27,60633812	1,505408116	134,3947411	6,767634258	81,25735182	278859100	1309,53496
République démocratique populaire laos	LAO	7169455	1,517115575	..	67,923	2,626	45,5	18173839147	4,651887119	15,28811753	30,90984611	..	60,84399721	20,60946392	66,11701525	755524124,2	2534,89828
Lettonie	LVA	1913822	-0,69523914	..	75,23902439	1,61	3,6	34102913582	2,054081508	3,724961325	18,55506702	2,031748807	108,6572233	17,24152126	101,5631697	1059246101	17819,27138
Liban	LBN	6855713	0,099061362	..	78,93	2,075	7,2	51991634492	-6,7	3,073209976	12,76192834	4,242218385	61,81650253	..	47,06526394	2223271880	7583,694722
Lesotho	LSO	2125268	0,809566476	..	54,331	3,108	86,4	2376328637	-0,805720589	4,53165759	29,06067342	1,546863635	74,49375796	..	129,2329668	117671911,4	1118,131284
Libéria	LBR	4937374	2,427194604	..	64,104	4,247	84,6	3070518100	-2,278245125	39,1132363	11,9679998	0,51652075	..	..	45,49720778	86681700,46	621,8929536
Libye	LBY	6777452	1,469777653	..	72,913	2,206	11,5	52091152228	2,535953478	..	..	..	..	..	74,5116941	..	7685,949267
Liechtenstein	LIE	38019	0,287110524	..	83,04146341	1,47	..	..	..	..	..	..	125,5898367	..	..	..	..
Lituanie	LTU	2794137	-0,264704355	..	76,13414634	1,61	3,7	54627411860	4,338861033	3,223970882	25,25601687	2,02672325	168,8207501	12,03012759	126,14546	1573981541	19550,72778
Luxembourg	LUX	620001	1,96284492	..	82,44634146	1,34	2,8	71104919108	2,296978816	0,226573208	11,31715942	0,622177914	135,7577766	6,56093708	56,95667826	-11420831094	114685,1684
Région administrative spéciale de Macao, Chine	MAC	640445	1,384996838	..	84,244	1,228	..	53859116536	-4,710859447	..	..	..	..	..	23,68029931	6484462571	84096,39631
Macédoine du Nord	MKD	2083459	0,024049441	..	75,797	1,489	6,1	12547040499	3,2	8,046818646	23,4999906	1,244459333	92,20306231	4,222575404	132,7803158	549500829,9	6022,216179
Madagascar	MDG	26969307	2,656240162	..	67,041	4,026	50,6	14114631281	4,851	23,33861423	17,21931631	0,613169182	..	0,366303746	46,52618881	474311425,4	523,3590645
Malawi	MWI	18628747	2,640375193	..	64,263	4,127	41,6	7666704427	4,369238991	25,54072117	12,91956906	0,885396813	47,78113633	7,255989392	48,99106305	98422743,26	411,5523404
Malaisie	MYS	31949777	1,327060649	..	76,156	1,983	8,6	364681000000	4,302815982	7,255789665	37,40141966	1,033978773	139,5962795	51,84896235	121,5288302	9101052111	11414,20698
Maldives	MDV	530953	2,91560605	..	78,921	1,84	7,6	5642179170	6,98667554	5,233177735	11,69872307	..	155,9539168	..	57,58413375	961146508,8	10626,5134
Mali	MLI	19658031	2,99663676	..	59,306	5,785	94	17279566719	4,751341534	37,32059716	20,92417345	2,709170359	116,6214561	..	48,20144009	493823353,8	879,0080104
Malte	MLT	504062	3,931356319	..	82,6	1,1	7	14989415684	4,919822117	0,71149905	12,46550797	0,564620805	144,0568429	29,78167614	67,24077984	4115026656	29737,24598
Îles Marshall	MHL	58791	0,645031416	..	..	..	31,8	..	..	..	..	..	..	..	..	4177233,798	..
Mauritanie	MRT	4525696	2,741280273	..	64,925	4,503	72,9	7600656944	5,931442089	18,69950882	25,31916226	2,818955471	104,090067	0,013144802	70,44127948	-883561115,8	1679,444873
Maurice	MUS	1265711	0,032240043	..	74,23585366	1,4	16	14048430519	3,014762911	2,897378734	17,26688432	0,153188085	147,0148102	2,143742448	55,79982753	472302807,1	11099,24028
Mexique	MEX	127575529	1,091362132	..	75,054	2,103	14,2	1268870000000	-0,054527928	3,388358384	30,88271118	0,516843479	95,66159745	20,42305256	73,13953474	29353967205	9946,033829
Micronésie, États fédérés de	FSM	113815	1,037743079	..	67,883	3,01	29,4	..	..	..	..	..	..	..	..	..	..
Moldova	MDA	2663251	-1,674182005	..	71,901	1,269	14,4	11968713370	3,580484254	10,05165031	22,77172469	0,376936995	89,37944428	2,964391094	72,03781838	501610000	4494,023797
Monaco	MCO	38964	0,726376735	..	..	..	3,1	..	..	..	..	..	86,70311056	..	..	..	..
Mongolie	MNG	3225167	1,718753097	..	69,87	2,867	15,6	13996719329	5,159070603	10,80062215	38,45332578	0,703201814	137,0136492	18,94402064	98,21587242	2443343095	4339,843279
Monténégro	MNE	622028	-0,031987013	..	76,884	1,748	2,3	5542577965	4,06293885	6,393841539	16,12944145	1,643544351	183,2837304	..	60,87420008	418205414,7	8910,495934
Maroc	MAR	36471769	1,22105093	..	76,68	2,382	21,4	119700000000	2,481905124	12,16319049	25,34464936	3,094492413	127,9529984	4,89982035	66,7216231	1599761098	3204,095003
Mozambique	MOZ	30366036	2,907137438	..	60,854	4,783	74,2	15291448212	2,283597203	26,02672382	22,85658459	0,895181627	48,65094674	..	79,80277493	2180768236	503,5707727
Myanmar	MMR	54045420	0,625548337	..	67,134	2,138	44,7	76085852617	2,887960733	..	..	..	..	2,750520024	48,25732871	2292325392	1407,813143
Namibie	NAM	2494530	1,872480881	..	63,708	3,344	42,4	12366528259	-1,134096127	6,613173976	26,59383149	3,028329466	113,1938682	0,236883641	102,2841636	-176478261,6	4957,458222
Nauru	NRU	12581	-0,972916514	..	..	..	30,9	118223430,1	0	..	..	..	..	..	105,7320024	..	9396,981967
Népal	NPL	28608710	1,837337077	..	70,778	1,876	30,8	30641380604	6,99121244	24,25589183	13,29568588	1,56308145	..	..	43,43146339	185554758,7	1071,050761
Pays-Bas	NLD	17344874	0,655071575	..	82,01219512	1,57	4	907051000000	1,677418368	1,646288107	17,70373726	1,340651681	127,2845209	23,06481147	148,2722805	35689139761	52295,03905
Nouvelle-Calédonie	NCL	287800	1,3080311	..	77,63414634	1,94	..	..	..	..	..	..	..	..	..	413344988,1	..
Nouvelle-Zélande	NZL	4979300	1,593167231	..	81,70731707	1,72	4,7	206929000000	2,811070102	..	..	1,498862401	..	9,865713421	39,56917241	2943285693	41557,80241
Nicaragua	NIC	6545502	1,229573677	..	74,485	2,377	16,6	12520915291	-3,87904755	15,41303163	25,06763697	0,654937275	88,43373663	1,062570506	97,90817776	503000000	1912,903745
Niger	NER	23310715	3,793668153	..	62,42	6,824	80,4	12911689659	5,90279179	37,80548405	20,23350953	1,839984015	..	..	26,89810622	717147639,4	553,8950504
Nigéria	NGA	200963599	2,564841886	..	54,687	5,317	117,2	448120000000	2,208429277	21,90629593	27,38253705	0,460792415	91,85357742	1,482401172	26,28489853	3299085483	2229,858696
Mariannes	MNP	57216	0,585463293	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Norvège	NOR	5347896	0,675061373	..	82,90731707	1,53	2,4	403336000000	1,154721939	1,931982104	29,10338765	1,684120191	107,3802483	22,61836249	46,64047603	12734728527	75419,63487
Oman	OMN	4974986	2,968313394	..	77,861	2,842	11,4	76331518669	-1,647926213	2,352945131	53,72406068	8,761275759	138,2321115	..	84,11073318	3419765930	15343,062
Pakistan	PAK	216565318	2,029214863	..	67,273	3,454	67,2	278222000000	0,98882944	22,04142176	18,3387737	3,976950712	76,37688644	2,302693347	26,48353649	2218000000	1284,702041
Palaos	PLW	18008	0,562440575	..	..	..	17,3	268354919,4	-4,24729447	..	..	..	..	..	65,58478614	22000000	14901,98353
Panama	PAN	4246439	1,651786891	3,6	78,506	2,437	14,9	66800800000	3,006389295	2,125872744	29,52299972	0	131,8517704	..	47,93206069	5891326086	15731,01603
Papouasie-Nouvelle-Guinée	PNG	8776109	1,953679082	..	64,501	3,52	44,8	24829107011	5,9	..	..	0,372887893	..	..	60,5821224	333974905,4	2829,170309
Paraguay	PRY	7044636	1,265167271	4,8	74,254	2,405	19,4	38145288940	-0,029914393	10,07876113	32,23693066	0,986209173	110,1809661	7,182844204	52,9449391	596238194,4	5414,799138
Pérou	PER	32510453	1,616157197	5,2	76,736	2,233	13,2	226848000000	2,150131391	6,960742874	30,22376034	1,166978075	..	4,078138711	39,65870532	8891912446	6977,695784
Philippines	PHL	108116615	1,363994679	..	71,231	2,526	27,3	376796000000	6,040575257	8,824422121	30,16588589	0,958761785	154,7610716	62,24658142	48,7893289	7685339334	3485,084218
Pologne	POL	37965475	-0,024427107	..	77,85609756	1,42	4,4	595858000000	4,540919514	2,346378825	28,64803137	2,022693273	127,7270912	10,11288296	88,27788118	14399000000	15694,73863
Portugal	PRT	10286263	0,023733495	..	80,68292683	1,42	3,7	238785000000	2,235976555	2,055284332	18,89991426	1,936662596	116,4632624	6,942215276	65,72646695	8270971798	23213,9782
Porto Rico	PRI	3193694	0,010646546	..	79,9285122	1,035	..	104989000000	1,187663555	0,68169306	48,51402914	..	114,9505626	..	..	..	32873,71927
